School,Year,Games,Wins,Losses,Ties,Preseason Rank,Postseason Rank,Srs,Sp Overall,Sp Offense,Sp Defense,First Name,Last Name,Hire Date,bye
Navy,2023,12,5,7,0,,,-11.4,-13.7,15,27.2,Brian,Newberry,,
NC State,2023,13,9,4,0,,21,7,7.4,25.5,19.7,Dave,Doeren,2012-12-01T00:00:00.000Z,
Nebraska,2023,12,5,7,0,,,1.3,0.3,15.6,13.9,Matt,Rhule,,
Nevada,2023,12,2,10,0,,,-17,-22,14.6,37,Ken,Wilson,2021-12-10T00:00:00.000Z,
New Mexico,2023,12,4,8,0,,,-11.1,-16.5,22.5,37.2,Danny,Gonzales,2020-01-12T00:00:00.000Z,
New Mexico State,2023,15,10,5,0,,,-3,-1.8,23.3,25.8,Jerry,Kill,2021-11-24T00:00:00.000Z,
North Carolina,2023,13,8,5,0,21,,8.8,7.4,34.4,27.8,Mack,Brown,2018-11-27T00:00:00.000Z,
North Texas,2023,12,5,7,0,,,-9.6,-6.7,32.9,41.3,Eric,Morris,,
Northern Illinois,2023,13,7,6,0,,,-8.8,-7.5,18.3,24.2,Thomas,Hammock,2019-01-18T00:00:00.000Z,
Northwestern,2023,13,8,5,0,,,-0.3,-1.3,18.5,18.5,David,Braun,,
Notre Dame,2023,13,10,3,0,13,14,18.3,20.1,36.3,16.7,Marcus,Freeman,2021-12-03T00:00:00.000Z,
Ohio,2023,13,10,3,0,,,-5.8,-1.6,18.5,18.1,Tim,Albin,2021-07-14T00:00:00.000Z,
Ohio State,2023,13,11,2,0,3,10,23.4,25.2,31.5,7.8,Ryan,Day,2018-12-04T00:00:00.000Z,
Oklahoma,2023,13,10,3,0,20,15,19.1,15,38.5,22.6,Brent,Venables,2021-12-05T00:00:00.000Z,
Oklahoma State,2023,14,10,4,0,,16,6.1,6.7,32.8,27.1,Mike,Gundy,2005-01-03T00:00:00.000Z,
Old Dominion,2023,13,6,7,0,,,-8.7,-10.1,23.1,31.3,Ricky,Rahne,2019-12-07T00:00:00.000Z,
